Date,Caging_Period,Flock_Generation,Number of Flocks,Average Age of Flock (weeks),Feed Intake (kgs per day),Egg Yield (per day),Yield_Per_Bird,Temperature,Humidity
2026-04-08,1,1,465,78,70.00,340,0.731,29.4,69.0
2026-04-09,1,1,465,78,70.00,331,0.712,31.2,66.0
2026-04-10,1,1,465,78,70.00,337,0.725,29.8,68.0
2026-04-11,1,1,465,78,70.00,351,0.755,30.2,55.0
2026-04-12,1,1,465,79,70.00,345,0.742,30.2,62.0
2026-04-13,1,1,465,79,70.00,343,0.738,28.7,75.0
2026-04-14,1,1,465,79,70.00,336,0.723,28.0,76.0
2026-04-15,1,1,465,79,70.00,344,0.74,29.3,67.0
2026-04-16,1,1,465,79,70.00,341,0.733,30.2,64.0
2026-04-17,1,1,465,79,70.00,361,0.776,28.4,65.0
2026-04-18,1,1,465,79,70.00,357,0.768,30.2,63.0
2026-04-19,1,1,465,80,70.00,359,0.772,30.1,64.0
2026-04-20,1,1,465,80,70.00,364,0.783,28.7,67.0
2026-04-21,1,1,465,80,70.00,360,0.774,29.8,68.0
2026-04-22,1,1,465,80,70.00,364,0.783,28.9,69.0
2026-04-23,1,1,465,80,70.00,361,0.776,30.0,61.0
2026-04-24,1,1,465,80,70.00,357,0.768,31.3,66.0
2026-04-25,1,1,465,80,70.00,361,0.776,30.8,70.0
2026-04-26,1,1,465,81,70.00,362,0.778,31.1,69.0
2026-04-27,1,1,465,81,70.00,351,0.755,29.1,75.0
2026-04-28,1,1,465,81,70.00,364,0.783,31.8,67.0
2026-04-29,1,1,465,81,70.00,337,0.725,30.7,69.0
2026-04-30,1,1,465,81,70.00,349,0.751,29.0,76.0
2026-05-01,1,1,465,81,70.00,347,0.746,31.0,69.0
2026-05-02,1,1,465,81,70.00,353,0.759,31.5,66.0
2026-05-03,1,1,465,82,70.00,360,0.774,31.7,66.0
2026-05-04,1,1,465,82,70.00,340,0.731,30.5,64.0
2026-05-05,1,1,465,82,70.00,345,0.742,29.5,67.0
2026-05-06,1,1,465,82,70.00,340,0.731,30.6,65.0
2026-05-07,1,1,465,82,70.00,330,0.71,28.9,70.0
2026-05-08,1,1,465,82,70.00,323,0.695,30.4,64.0
2026-05-09,1,1,465,82,70.00,331,0.712,29.5,78.0
2026-05-10,1,1,465,83,70.00,336,0.723,29.5,72.0
2026-05-11,1,1,465,83,70.00,338,0.727,30.0,67.0
2026-05-12,1,1,465,83,70.00,346,0.744,29.7,66.0
2026-05-13,1,1,465,83,70.00,325,0.699,34.4,54.0
2026-05-14,1,1,465,83,70.00,340,0.731,31.8,64.0
2026-05-15,1,1,465,83,70.00,332,0.714,31.3,69.0
2026-05-16,1,1,465,83,70.00,332,0.714,30.3,69.0
2026-05-17,1,1,465,84,70.00,322,0.692,30.0,70.0
2026-05-18,1,1,465,84,70.00,300,0.645,29.7,74.0
2026-05-19,1,1,465,84,70.00,312,0.671,30.4,74.0
2026-05-20,1,1,465,84,70.00,300,0.645,31.0,71.0
2026-05-21,1,1,465,84,70.00,291,0.626,30.5,75.0
2026-05-22,1,1,465,84,70.00,280,0.602,29.9,76.0
2026-05-23,1,1,465,84,70.00,300,0.645,31.2,69.0
2026-09-14,2,1,465,100,50.00,344,0.74,29.0,78.0
